id,description,code,name,keywords
821264058,"Casas, San Martín, Santa Fe",821264058,Casas,821264058
300980420,"Caseros, Uruguay, Entre Ríos",300980420,Caseros    ,300980420
820140028,"Casilda, Caseros, Santa Fe",820140028,Casilda    ,820140028
381056210,"Caspala, Valle Grande, Jujuy",381056210,Caspala    ,381056210
821264065,"Castelar, San Martín, Santa Fe",821264065,Castelar   ,821264065
61680168,"Castelli, Castelli, Buenos Aires",061680168,Castelli   ,061680168
460210021,"Castro Barros, Castro Barros, La Rioja",460210021,Castro Barros    ,460210021
620420105,"Catriel, General Roca, Río Negro",620420105,Catriel    ,620420105
420280077,"Catriló, Catriló, La Pampa",420280077,Catriló    ,420280077
421190077,"Catriló, Quemú Quemú, La Pampa",421190077,Catriló    ,421190077
380846154,"Catua, Susques, Jujuy",380846154,Catua,380846154
700350035,"Caucete, Caucete, San Juan",700350035,Caucete    ,700350035
140630504,"Cavanagh, Marcos Juárez, Córdoba",140630504,Cavanagh   ,140630504
580840168,"Caviahue-Copahue, Ñorquín, Neuquén",580840168,Caviahue-Copahue ,580840168
820703036,"Cavour, Las Colonias, Santa Fe",820703036,Cavour     ,820703036
820352539,"Cayasta, Garay, Santa Fe",820352539,Cayasta    ,820352539
821123869,"Cayastacito, San Justo, Santa Fe",821123869,Cayastacito,821123869
420560084,"Ceballos, Chapaleufú, La Pampa",420560084,Ceballos   ,420560084
300630210,"Ceibas, Islas del Ibicuy, Entre Ríos",300630210,Ceibas     ,300630210
580350042,"Centenario, Confluencia, Neuquén",580350042,Centenario ,580350042
821053757,"Centeno, San Jerónimo, Santa Fe",821053757,Centeno    ,821053757
820282434,"Cepeda, Constitución, Santa Fe",820282434,Cepeda     ,820282434
820910224,"Ceres, San Cristóbal, Santa Fe",820910224,Ceres,820910224
660350077,"Cerrillos, Cerrillos, Salta",660350077,Cerrillos  ,660350077
300840294,"Cerrito, Paraná, Entre Ríos",300840294,Cerrito    ,300840294
540700259,"Cerro Azul, Leandro N. Alem, Misiones",540700259,Cerro Azul ,540700259
260358021,"Cerro Centinela, Futaleufú, Chubut",260358021,Cerro Centinela  ,260358021
141122735,"Cerro Colorado, Río Seco, Córdoba",141122735,Cerro Colorado   ,141122735
540210070,"Cerro Corá, Candelaria, Misiones",540210070,Cerro Corá ,540210070
620355063,"Cerro Policía, El Cuy, Río Negro",620355063,Cerro Policía    ,620355063
620420112,"Cervantes, General Roca, Río Negro",620420112,Cervantes  ,620420112
901198644,"Cevil Redondo, Yerba Buena, Tucumán",901198644,Cevil Redondo    ,901198644
820142056,"Chabas, Caseros, Santa Fe",820142056,Chabas     ,820142056
62100210,"Chacabuco, Chacabuco, Buenos Aires",062100210,Chacabuco  ,062100210
421545049,"Chacharramendi, Utracán, La Pampa",421545049,Chacharramendi   ,421545049
140980798,"Chaján, Río Cuarto, Córdoba",140980798,Chaján     ,140980798
300280105,"Chajarí, Federación, Entre Ríos",300280105,Chajarí    ,300280105
141052630,"Chalacea, Río Primero, Córdoba",141052630,Chalacea   ,141052630
460350035,"Chamical, Chamical, La Rioja",460350035,Chamical   ,460350035
140772406,"Chancani, Pocho, Córdoba",140772406,Chancani   ,140772406
820142063,"Chañar Ladeado, Caseros, Santa Fe",820142063,Chañar Ladeado   ,820142063
141122742,"Chañar Viejo, Río Seco, Córdoba",141122742,Chañar Viejo     ,141122742
820422616,"Chapuy, General López, Santa Fe",820422616,Chapuy     ,820422616
221610469,"Charadai, Tapenagá, Chaco",221610469,Charadai   ,221610469
220280084,"Charata, Chacabuco, Chaco",220280084,Charata    ,220280084
140912483,"Charbonier, Punilla, Córdoba",140912483,Charbonier ,140912483
140560406,"Charras, Juárez Celman, Córdoba",140560406,Charras    ,140560406
62170217,"Chascomús, Chascomús, Buenos Aires",062170217,Chascomús  ,062170217
861476567,"Chauchillas, Río Hondo, Santiago del Estero",861476567,Chauchillas,861476567
860356364,"Chaupi Pozo, Banda, Santiago del Estero",860356364,Chaupi Pozo,860356364
181610413,"Chavarría, San Roque, Corrientes",181610413,Chavarría  ,181610413
140420287,"Chazón, General San Martín, Córdoba",140420287,Chazón     ,140420287
620145084,"Chelforó, Avellaneda, Río Negro",620145084,Chelforó   ,620145084
620420119,"Chichinales, General Roca, Río Negro",620420119,Chichinales,620420119
660420091,"Chicoana, Chicoana, Salta",660420091,Chicoana   ,660420091
861686259,"Chilca Juliana, Salavina, Santiago del Estero",861686259,Chilca Juliana   ,861686259
301059880,"Chilcas, Victoria, Entre Ríos",301059880,Chilcas    ,301059880
460420042,"Chilecito, Chilecito, La Rioja",460420042,Chilecito  ,460420042
141821631,"Chilibroste, Unión, Córdoba",141821631,Chilibroste,141821631
700420042,"Chimbas, Chimbas, San Juan",700420042,Chimbas    ,700420042
620140021,"Chimpay, Avellaneda, Río Negro",620140021,Chimpay    ,620140021
620845175,"Chipauquil, Valcheta, Río Negro",620845175,Chipauquil ,620845175
62240224,"Chivilcoy, Chivilcoy, Buenos Aires",062240224,Chivilcoy  ,062240224
620140028,"Choele Choel, Avellaneda, Río Negro",620140028,Choele Choel     ,620140028
260140014,"Cholila, Cushamen, Chubut",260140014,Cholila    ,260140014
901128623,"Choromoro, Trancas, Tucumán",901128623,Choromoro  ,901128623
220430119,"Chorotis, Fray Justo Santa María de Oro, Chaco",220430119,Chorotis   ,220430119
580635063,"Chorriaca, Loncopué, Neuquén",580635063,Chorriaca  ,580635063
580420098,"Chos Malal, Chos Malal, Neuquén",580420098,Chos Malal ,580420098
820422623,"Chovet, General López, Santa Fe",820422623,Chovet     ,820422623
860636098,"Choya, Choya, Santiago del Estero",860636098,Choya,860636098
140982553,"Chucul, Río Cuarto, Córdoba",140982553,Chucul     ,140982553
141543127,"Chuña Huasi, Sobremonte, Córdoba",141543127,Chuña Huasi,141543127
140492273,"Chuña, Ischilín, Córdoba",140492273,Chuña,140492273
141753204,"Churqui Cañada, Tulumba, Córdoba",141753204,Churqui Cañada   ,141753204
140702357,"Cienaga del Coro, Minas, Córdoba",140702357,Cienaga del Coro ,140702357
380776133,"Cieneguillas, Santa Catalina, Jujuy",380776133,Cieneguillas     ,380776133
220840252,"Ciervo Petiso, Libertador General San Martín, Chaco",220840252,Ciervo Petiso    ,220840252
620420126,"Cinco Saltos, General Roca, Río Negro",620420126,Cinco Saltos     ,620420126
141821638,"Cintra, Unión, Córdoba",141821638,Cintra     ,141821638
620420133,"Cipolletti, General Roca, Río Negro",620420133,Cipolletti ,620420133
900918504,"Ciudacita, Simoca, Tucumán",900918504,Ciudacita  ,900918504
820562896,"Clason, Iriondo, Santa Fe",820562896,Clason     ,820562896
620915217,"Clemente Onelli, 25 de Mayo, Río Negro",620915217,Clemente Onelli  ,620915217
860350035,"Clodomira, Banda, Santiago del Estero",860350035,Clodomira  ,860350035
300159035,"Clodomiro Ledesma, Concordia, Entre Ríos",300159035,Clodomiro Ledesma,300159035
340490189,"Clorinda, Pilcomayo, Formosa",340490189,Clorinda   ,340490189
900988574,"Colalao del Valle, Tafí del Valle, Tucumán",900988574,Colalao del Valle,900988574
620915203,"Colán Conhué, 25 de Mayo, Río Negro",620915203,Colán Conhué     ,620915203
260568063,"Colán Conhué, Languiñeo, Chubut",260568063,Colán Conhué     ,260568063
141191001,"Colazo, Río Segundo , Córdoba",141191001,Colazo     ,141191001
900148077,"Colombres, Cruz Alta, Tucumán",900148077,Colombres  ,900148077
61750175,"Colón, Colón, Buenos Aires",061750175,Colón,061750175
300080007,"Colón, Colón, Entre Ríos",300080007,Colón,300080007
301139917,"Colonia Adivino, Villaguay, Entre Ríos",301139917,Colonia Adivino  ,301139917
